"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","1.6061862571850326E-5","19508","PRR23D1","false","PRR23D1"
"0.0","9.492080809329079E-5","19050","SLC9B2","false","SLC9B2"
"0.0","1.6750236937108863E-4","17824","CLEC19A","false","CLEC19A"
"0.0","2.9249552508542066E-4","16938","DNASE1L3","false","DNASE1L3"
"0.0","0.006959084896292178","7602","FAM24B","false","FAM24B"
"0.0","6.730911973999354E-4","15233","LENEP","false","LENEP"
"0.0","1.1901522475876892E-5","19532","CGB8","false","CGB8"
"0.0","1.6771170972905232E-4","17822","MT1B","false","MT1B"
"0.0","1.6259102508377443E-4","17862","CXorf51B","false","CXorf51B"
"0.0","1.6259102508377443E-4","17861","CXorf51A","false","CXorf51A"
"0.0","2.4527905288323717E-4","17254","DEFB112","false","DEFB112"
"0.0","0.0013559306167085581","13381","TAGAP","false","TAGAP"
"0.0","1.3617055603023105E-5","19527","UROC1","false","UROC1"
"0.0","1.9816268498362697E-4","17564","VCX","false","VCX"
"0.0","1.38245254724358E-5","19526","CLDN23","false","CLDN23"
"0.0","0.001859939486051386","12417","B3GNT7","false","B3GNT7"
"0.0","0.0010905603910896199","14009","IL31","false","IL31"
"0.0","1.435122294620292E-4","18381","RAB42","false","RAB42"
"0.0","2.183166859771086E-4","17413","TMEM82","false","TMEM82"
"0.0","7.078505787697321E-4","15116","RAET1L","false","RAET1L"
"0.0","1.8787437945118628E-5","19501","SSX4B","false","SSX4B"
"0.0","0.003368360442407489","10599","DKK2","false","DKK2"
"0.0","0.0015657068697782217","12950","ARMC4","false","ARMC4"
"0.0","1.4588417775871878E-4","18355","C8orf58","false","C8orf58"
"0.0","0.0010146931870644814","14204","ZNF776","false","ZNF776"
"0.0","3.819931638109344E-5","19418","PLA2G2F","false","PLA2G2F"
"0.0","4.2232317874799785E-4","16249","LYPD2","false","LYPD2"
"0.0","9.831177885005326E-5","19028","HIGD2B","false","HIGD2B"
"0.0","2.9942374911188634E-5","19457","GOLGA8K","false","GOLGA8K"
"0.0","1.163093830314152E-5","19533","TBATA","false","TBATA"
"0.0","3.263408238109449E-5","19448","TRIM49C","false","TRIM49C"
"1.0","0.9804346400672668","5","TRH","true","TRH"
"0.0","0.0017983718659506079","12533","CHRNB1","false","CHRNB1"
"0.0","6.38515200483016E-5","19279","PPAPDC1B","false","PPAPDC1B"
"0.0","1.078505306026771E-4","18909","RBMY1E","false","RBMY1E"
"0.0","1.9746641203045116E-4","17567","ZNF300","false","ZNF300"
"0.0","2.1868703927820465E-4","17410","OR7D4","false","OR7D4"
"0.0","0.008019732877422284","6780","SLC10A4","false","SLC10A4"
"0.0","2.0761142885345103E-4","17495","SLC22A14","false","SLC22A14"
"0.0","8.309281817224596E-5","19176","LYG1","false","LYG1"
"0.0","4.2812775775513803E-4","16218","PLA2G2E","false","PLA2G2E"
"0.0","5.230934887035725E-5","19334","WNT9A","false","WNT9A"
"0.0","8.042329073506359E-4","14782","S100A7L2","false","S100A7L2"
"0.0","0.0010700340206795682","14065","ENTHD1","false","ENTHD1"
"0.0","5.703935422214198E-4","15600","ZNF726","false","ZNF726"
"0.0","0.00208575306931018","12076","TM4SF5","false","TM4SF5"
"0.0","4.2475103996499216E-4","16235","TMEM18","false","TMEM18"
"0.0","1.645710478158219E-5","19506","FAM180B","false","FAM180B"
"0.0","1.819282655850149E-4","17669","CA13","false","CA13"
"0.0","0.008153281589147701","6653","LCN9","false","LCN9"
"0.0","9.233489543560288E-5","19102","OR7D2","false","OR7D2"
"0.0","3.602778069634454E-4","16561","GPHB5","false","GPHB5"
"0.0","1.9160560411200672E-4","17610","HFE2","false","HFE2"
"0.0","6.540442118482586E-4","15291","SLC51B","false","SLC51B"
"0.0","1.0156799317742561E-5","19543","C12orf60","false","C12orf60"
"0.0","1.4458910873713977E-5","19518","ZNF705D","false","ZNF705D"
"0.0","4.871727623573984E-4","15958","FUT7","false","FUT7"
"0.0","2.7617183429654913E-4","17034","GUCA1C","false","GUCA1C"
"0.0","3.1718563239160126E-4","16784","TMCO2","false","TMCO2"
"0.0","4.433371044585389E-5","19389","PRSS53","false","PRSS53"
"0.0","5.52628120870891E-4","15666","LBX2","false","LBX2"
"0.0","4.461531818846557E-5","19386","C5orf38","false","C5orf38"
"0.0","9.276960360468477E-6","19548","AOAH","false","AOAH"
"0.0","0.01815029224001201","1423","GPR45","true","GPR45"
"0.0","7.397551490673631E-4","15012","PROK2","false","PROK2"
"0.0","2.579498088889112E-4","17171","KCNMB4","false","KCNMB4"
"0.0","2.760042685692999E-4","17036","SDS","false","SDS"
"0.0","6.100267997512927E-4","15447","GPR162","false","GPR162"
"0.0","3.5457676473182924E-4","16591","DEFB115","false","DEFB115"
"0.0","2.15087007847944E-4","17441","C5orf56","false","C5orf56"
"0.0","0.0010877934068931996","14026","FAM163B","false","FAM163B"
